ICD10-CM DX CODES,LAB CPT CODES,UB REV CODE,,CPT CODE,GRID PRICE,,"REJECTED INEL CODES 
ON 100% PD VALIDATION",,Modifier,CPT DENIAL ,REMOVE Modifer ,,EXCEPTIONS DENIAL CODES,,CHECK INEL CODE,,APPLY DISCOUNTS AFTER DENIAL,,REMOVE DISC AMT. APPLIES ONLY FOR BELOW INEL CODE,,POSSIBLE HCR LIST,,"CPT CODES 
ON 100% PD VALIDATION"
,99204,,,90620,$120.84 ,,001,,,D9954,,,950,,902,,908,,908,,99401,,36415
,99213,,,90621,$115.17 ,,902,,,D9955,,,368,,602,,930,,700,,99173,,
,99213,,,90633,$20.72 ,,106,,,D9956,,,947,,947,,501,,183,,91320,,
,99214,,,90647,$13.54 ,,104,,,D9957,,,221,,106,,909,,,,90619,,
,99203,,,90648,$9.46 ,,858,,,A0999,,,,,101,,224,,,,90697,,
,99214,,,90651,$189.08 ,,311,,,A4421,,,,,311,,700,,,,90671,,
,99203,,,90670,$144.84 ,,251,,,A4913,,,,,603,,183,,,,90471,,
,99203,,,90671,$165.52 ,,947,,,A9999,,,,,221,,,,,,91321,,
,99214,,,90680,$72.04 ,,,,,B9998,,,,,,,,,,,,,
,99214,,,90681,$97.88 ,,,,,B9999,,,,,,,,,,,,,
,99213,,,90696,$41.93 ,,,,,C1734,,,,,,,,,,,,,
,,,,90697,$83.38 ,,,,,D0999,,,,,,,,,,,,,
,,,,90698,$61.94 ,,,,,D1708,,,,,,,,,,,,,
,,,,90700,$18.63 ,,,,,D1709,,,,,,,,,,,,,
,,,,90702,$59.59 ,,,,,D1710,,,,,,,,,,,,,
,,,,90707,$21.77 ,,,,,D1711,,,,,,,,,,,,,
,,,,90710,$138.67 ,,,,,D1712,,,,,,,,,,,,,
,,,,90713,$13.90 ,,,,,D1713,,,,,,,,,,,,,
,,,,90714,$16.42 ,,,,,D1714,,,,,,,,,,,,,
,,,,90715,$32.73 ,,,,,D1781,,,,,,,,,,,,,
,,,,90716,$110.28 ,,,,,D1782,,,,,,,,,,,,,
,,,,90723,$60.96 ,,,,,D1783,,,,,,,,,,,,,
,,,,90732,$59.78 ,,,,,D2999,,,,,,,,,,,,,
,,,,90734,$96.15 ,,,,,D3999,,,,,,,,,,,,,
,,,,90619,$96.15 ,,,,,D4999,,,,,,,,,,,,,
,,,,90744,$12.54 ,,,,,D5899,,,,,,,,,,,,,
,,,,90686,$13.50 ,,,,,D5999,,,,,,,,,,,,,
,,,,90688,$13.55 ,,,,,D6999,,,,,,,,,,,,,
,,,,90672,$18.88 ,,,,,D7899,,,,,,,,,,,,,
,,,,90674,$16.02 ,,,,,D7999,,,,,,,,,,,,,
,,,,,,,,,,D8999,,,,,,,,,,,,,
,,,,,,,,,,D9610,,,,,,,,,,,,,
,,,,,,,,,,D9612,,,,,,,,,,,,,
,,,,,,,,,,D9613,,,,,,,,,,,,,
,,,,,,,,,,D9630,,,,,,,,,,,,,
,,,,,,,,,,D9912,,,,,,,,,,,,,
,,,,,,,,,,D9947,,,,,,,,,,,,,
,,,,,,,,,,D9948,,,,,,,,,,,,,
,,,,,,,,,,D9949,,,,,,,,,,,,,
,,,,,,,,,,D9953,,,,,,,,,,,,,
,,,,,,,,,,D9999,,,,,,,,,,,,,
,,,,,,,,,,E1366,,,,,,,,,,,,,
,,,,,,,,,,E1399,,,,,,,,,,,,,
,,,,,,,,,,E1666,,,,,,,,,,,,,
,,,,,,,,,,E1699,,,,,,,,,,,,,
,,,,,,,,,,E9999,,,,,,,,,,,,,
,,,,,,,,,,G2168,,,,,,,,,,,,,
,,,,,,,,,,G6021,,,,,,,,,,,,,
,,,,,,,,,,H0046,,,,,,,,,,,,,
,,,,,,,,,,K0117,,,,,,,,,,,,,
,,,,,,,,,,K0900,,,,,,,,,,,,,
,,,,,,,,,,L1499,,,,,,,,,,,,,
,,,,,,,,,,L3649,,,,,,,,,,,,,
,,,,,,,,,,L3999,,,,,,,,,,,,,
,,,,,,,,,,L5999,,,,,,,,,,,,,
,,,,,,,,,,L7499,,,,,,,,,,,,,
,,,,,,,,,,L8499,,,,,,,,,,,,,
,,,,,,,,,,L8699,,,,,,,,,,,,,
,,,,,,,,,,P9099,,,,,,,,,,,,,
,,,,,,,,,,Q4050,,,,,,,,,,,,,
,,,,,,,,,,Q4082,,,,,,,,,,,,,
,,,,,,,,,,Q9977,,,,,,,,,,,,,
,,,,,,,,,,S8301,,,,,,,,,,,,,
,,,,,,,,,,T2028,,,,,,,,,,,,,
,,,,,,,,,,T2029,,,,,,,,,,,,,
,,,,,,,,,,T2032,,,,,,,,,,,,,
,,,,,,,,,,T2033,,,,,,,,,,,,,
,,,,,,,,,,V5299,,,,,,,,,,,,,
,,,,,,,,,,01999,,,,,,,,,,,,,
,,,,,,,,,,15999,,,,,,,,,,,,,
,,,,,,,,,,17999,,,,,,,,,,,,,
,,,,,,,,,,19499,,,,,,,,,,,,,
,,,,,,,,,,20999,,,,,,,,,,,,,
,,,,,,,,,,21089,,,,,,,,,,,,,
,,,,,,,,,,21299,,,,,,,,,,,,,
,,,,,,,,,,21499,,,,,,,,,,,,,
,,,,,,,,,,21899,,,,,,,,,,,,,
,,,,,,,,,,22899,,,,,,,,,,,,,
,,,,,,,,,,22999,,,,,,,,,,,,,
,,,,,,,,,,23929,,,,,,,,,,,,,
,,,,,,,,,,24999,,,,,,,,,,,,,
,,,,,,,,,,25999,,,,,,,,,,,,,
,,,,,,,,,,26989,,,,,,,,,,,,,
,,,,,,,,,,27299,,,,,,,,,,,,,
,,,,,,,,,,27599,,,,,,,,,,,,,
,,,,,,,,,,27899,,,,,,,,,,,,,
,,,,,,,,,,28899,,,,,,,,,,,,,
,,,,,,,,,,29799,,,,,,,,,,,,,
,,,,,,,,,,29909,,,,,,,,,,,,,
,,,,,,,,,,29999,,,,,,,,,,,,,
,,,,,,,,,,30999,,,,,,,,,,,,,
,,,,,,,,,,31299,,,,,,,,,,,,,
,,,,,,,,,,31599,,,,,,,,,,,,,
,,,,,,,,,,31899,,,,,,,,,,,,,
,,,,,,,,,,32999,,,,,,,,,,,,,
,,,,,,,,,,33999,,,,,,,,,,,,,
,,,,,,,,,,36299,,,,,,,,,,,,,
,,,,,,,,,,37501,,,,,,,,,,,,,
,,,,,,,,,,37799,,,,,,,,,,,,,
,,,,,,,,,,37999,,,,,,,,,,,,,
,,,,,,,,,,38129,,,,,,,,,,,,,
,,,,,,,,,,38589,,,,,,,,,,,,,
,,,,,,,,,,38999,,,,,,,,,,,,,
,,,,,,,,,,39499,,,,,,,,,,,,,
,,,,,,,,,,39599,,,,,,,,,,,,,
,,,,,,,,,,40299,,,,,,,,,,,,,
,,,,,,,,,,40799,,,,,,,,,,,,,
,,,,,,,,,,40899,,,,,,,,,,,,,
,,,,,,,,,,41599,,,,,,,,,,,,,
,,,,,,,,,,41899,,,,,,,,,,,,,
,,,,,,,,,,42299,,,,,,,,,,,,,
,,,,,,,,,,42699,,,,,,,,,,,,,
,,,,,,,,,,42999,,,,,,,,,,,,,
,,,,,,,,,,43289,,,,,,,,,,,,,
,,,,,,,,,,43499,,,,,,,,,,,,,
,,,,,,,,,,43659,,,,,,,,,,,,,
,,,,,,,,,,43999,,,,,,,,,,,,,
,,,,,,,,,,44238,,,,,,,,,,,,,
,,,,,,,,,,44239,,,,,,,,,,,,,
,,,,,,,,,,44799,,,,,,,,,,,,,
,,,,,,,,,,44899,,,,,,,,,,,,,
,,,,,,,,,,44979,,,,,,,,,,,,,
,,,,,,,,,,45399,,,,,,,,,,,,,
,,,,,,,,,,45499,,,,,,,,,,,,,
,,,,,,,,,,45999,,,,,,,,,,,,,
,,,,,,,,,,46617,,,,,,,,,,,,,
,,,,,,,,,,46999,,,,,,,,,,,,,
,,,,,,,,,,47379,,,,,,,,,,,,,
,,,,,,,,,,47399,,,,,,,,,,,,,
,,,,,,,,,,47579,,,,,,,,,,,,,
,,,,,,,,,,47999,,,,,,,,,,,,,
,,,,,,,,,,48999,,,,,,,,,,,,,
