rule,rls_code,lst_rls,pnd_rsn,pnd_op_id,flw_up,dist_unit,eob,ck,note,payee,eob_note,verify,apply_uc,rem_oi_elig_amt,apply_001,deny_clm,add_time,vld_amt_pd,vld_amt_pd_by_cpt,remove_prv,remove_inel_amt_cd,denial_code,aply_inel_cd_spcfc_rmval,inel_cd_to_rmv,apply_dx,apply_lab,dx_lab_rev,apply_bn_t_hold,apply_bn_qty,chnge_dx_cd,new_oi_elig_pd,new_oi_indctr,inel_switch,aply_dx_excptn,aply_cond_nt,aply_grid_prc,updt_frm_to_dt,aply_tod_updt,remove_ap,aply_int_zip,aply_cond_afv,aply_850_nt,rem_code_set,aply_modifr,inel_code,remv_prov_rate,remv_modifr,aply_two_ap_cd,remv_prcrt_byps,amt_858_inq,bond_clinic,updt_oc_for_700,updt_hic,remv_adj_cd,aply_631_inel,aply_st_typ,aply_dpsv,chk_inel,chk_per_diem,dis_aft_dnl,seq_ordr,rem_iu,rem_tu,aply_opi,del_bn,aply_dnl_aft_medcr,flip_mod,apply_disc_aft_flip,rem_disc_amt_flag,faie_adj_inel,aply_034_inel,dny_s9451,id_hcr,2nd_inel_001,new_ap_cd,new_prv_cd
RULE2,10,Y,,,,,,,,0,,N,Y,N,N/A,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N/A,N/A,N,N,N,N,N,N,N,N,N,DO NOT APPLY NOTE,N,N,,N,N,N,N,N,N,N,N,N,N,N/A,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,
RULE5,10,Y,,,,,,,,0,,N,Y,N,N/A,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N/A,N/A,N,N,N,N,N,N,N,N,N,DO NOT APPLY NOTE,N,N,,N,N,N,N,N,N,N,N,N,N,N/A,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,
RULE6,10,Y,,,,,,,,0,,N,Y,N,N/A,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N/A,N/A,N,N,N,N,N,N,N,N,N,DO NOT APPLY NOTE,N,N,,N,N,N,N,N,N,N,N,N,N,N/A,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,
RULE31,10,Y,,,,,,,,0,,N,Y,N,N/A,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N/A,N/A,N,N,N,N,N,N,N,N,N,DO NOT APPLY NOTE,N,N,,N,N,N,N,N,N,N,N,N,N,N/A,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,E,
RULE61,10,Y,,,,,,,,0,,N,Y,N,N/A,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N/A,N/A,N,N,N,N,N,N,N,N,N,DO NOT APPLY NOTE,N,N,,N,N,N,N,N,N,N,N,N,N,N/A,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,U,Y
RULE103,10,Y,,,,,,,,0,,N,Y,N,N/A,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N/A,N/A,N,N,N,N,N,N,N,N,N,DO NOT APPLY NOTE,N,N,,N,N,N,N,N,N,N,N,N,N,N/A,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,Y
RULE953,10,Y,,,,,,,,0,,N,Y,N,N/A,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N/A,N/A,N,N,N,N,N,N,N,N,N,DO NOT APPLY NOTE,N,N,,N,N,N,N,N,N,N,N,N,N,N/A,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,I
RULE870,10,Y,,,,,,,,0,,N,Y,N,N/A,N,N,N,N,N,N,,N,,N,N,N,N,N,N,N/A,N/A,N,N,N,N,N,N,N,N,N,DO NOT APPLY NOTE,N,N,,N,N,N,N,N,N,N,N,N,N,N/A,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,A,G
RULE295,71,Y,,,,,,,,0,,N,Y,N,N/A,Y,N,N,N,N,N,947,N,,N,N,N,N,N,N,N/A,N/A,N,N,N,N,N,N,N,N,N,DO NOT APPLY NOTE,N,N,,N,N,N,N,N,N,N,N,N,N,N/A,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,
RULE17,71,Y,,,,,,,,0,,N,Y,N,N/A,Y,N,N,N,N,N,,N,,N,N,N,N,N,N,N/A,N/A,N,N,N,N,N,N,N,N,N,DO NOT APPLY NOTE,N,N,,N,N,N,N,N,N,N,N,N,N,N/A,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,
